timestamp,temperature,humidity,pressure,light
0.0,24.05,45.2,1012.46,320.9
1.0,23.88,45.49,1012.26,317.2
2.0,24.01,44.81,1012.54,314.7
3.0,23.85,44.84,1012.55,320.1
4.0,24.0,45.72,1012.44,319.5
5.0,24.07,45.14,1012.23,321.1
6.0,24.1,45.5,1012.78,316.6
7.0,24.07,45.21,1012.62,320.1
8.0,23.93,45.23,1012.25,319.3
9.0,23.99,45.02,1012.22,317.4
10.0,24.02,44.94,1012.6,324.2
11.0,23.97,45.11,1011.99,320.8
12.0,24.09,44.82,1012.6,322.7
13.0,24.04,44.55,1012.59,314.6
14.0,24.05,45.16,1012.43,317.1
15.0,23.99,45.04,1012.33,320.7
16.0,24.06,45.15,1012.18,319.9
17.0,24.04,44.9,1012.4,323.4
18.0,23.89,45.04,1012.38,316.5
19.0,24.2,44.9,1012.41,316.7
20.0,24.1,44.93,1012.74,322.4
21.0,24.07,45.36,1012.19,319.7
22.0,24.13,45.31,1012.53,321.0
23.0,23.93,45.0,1012.06,318.6
24.0,24.09,45.51,1012.46,322.6
25.0,23.91,44.52,1012.23,315.9
26.0,24.16,44.64,1012.32,314.5
27.0,24.01,45.31,1012.16,323.4
28.0,24.03,44.39,1012.63,319.0
29.0,24.09,44.62,1012.22,320.7
30.0,23.96,45.21,1012.46,321.4
31.0,23.92,45.14,1012.42,320.2
32.0,24.06,44.88,1012.29,319.4
33.0,24.04,44.54,1012.29,310.3
34.0,23.98,45.42,1012.34,320.4
35.0,24.07,44.55,1012.16,317.8
36.0,23.97,45.01,1012.31,316.3
37.0,24.0,44.72,1012.32,325.7
38.0,23.93,45.39,1012.36,319.6
39.0,24.05,44.85,1012.41,318.7
40.0,23.99,45.03,1012.42,316.2
41.0,23.92,45.09,1012.15,318.2
42.0,24.06,44.22,1012.49,321.9
43.0,23.92,45.29,1012.29,322.0
44.0,23.91,45.31,1012.21,319.0
45.0,24.02,44.97,1012.66,317.1
46.0,23.95,44.94,1012.41,318.2
47.0,23.95,44.66,1012.44,321.2
48.0,23.97,44.6,1012.38,313.6
49.0,24.0,44.87,1012.35,319.0
50.0,24.0,44.81,1012.35,319.0
51.0,24.0,44.87,1012.42,316.6
52.0,23.92,45.43,1012.39,319.9
53.0,23.98,45.28,1012.36,320.4
54.0,24.1,44.88,1012.43,324.1
55.0,23.92,44.93,1012.29,322.2
56.0,23.89,44.51,1012.29,319.6
57.0,24.01,44.78,1012.3,321.0
58.0,24.04,44.92,1012.19,324.5
59.0,24.01,44.81,1012.3,318.5
60.0,24.02,44.58,1012.28,323.0
61.0,24.09,45.15,1012.49,321.8
62.0,23.88,45.29,1012.32,321.0
63.0,24.07,45.94,1012.59,326.2
64.0,23.97,44.74,1012.34,320.8
65.0,24.01,45.44,1012.11,322.1
