timestamp,temperature,humidity,pressure,light
0.0,24.07,44.84,1012.35,321.2
1.0,24.1,43.93,1012.53,317.3
2.0,23.88,45.68,1012.37,322.5
3.0,23.99,45.76,1012.33,319.8
4.0,24.09,44.16,1012.33,318.6
5.0,24.06,44.6,1012.44,318.9
6.0,23.95,45.32,1012.62,317.9
7.0,23.98,44.52,1012.39,318.7
8.0,24.01,45.65,1012.37,325.0
9.0,23.98,44.77,1012.34,320.1
10.0,23.99,45.36,1012.44,319.8
11.0,24.17,43.81,1012.31,314.9
12.0,23.99,45.09,1012.32,317.5
13.0,23.92,44.53,1012.58,319.9
14.0,24.04,44.97,1012.25,321.8
15.0,23.94,44.93,1012.14,327.7
16.0,24.02,45.5,1012.47,313.4
17.0,24.01,45.16,1012.23,323.5
18.0,24.02,44.85,1012.3,319.9
19.0,23.9,45.5,1012.21,321.0
20.0,23.87,46.02,1012.47,317.6
21.0,24.09,44.53,1012.44,320.8
22.0,23.84,45.05,1012.34,320.5
23.0,23.94,45.21,1012.14,319.4
24.0,24.12,44.9,1012.56,320.1
25.0,24.02,45.05,1012.44,323.9
26.0,24.11,44.74,1012.23,321.0
27.0,23.98,44.84,1012.37,320.1
28.0,23.83,45.88,1012.68,322.7
29.0,23.96,45.63,1012.4,317.9
30.0,23.91,45.75,1012.34,316.1
31.0,23.98,45.09,1012.07,320.3
32.0,24.04,45.44,1012.45,322.4
33.0,23.99,45.45,1012.54,319.5
34.0,24.07,45.36,1012.1,316.3
35.0,24.02,44.9,1012.55,321.6
36.0,23.98,45.24,1012.39,317.9
37.0,24.1,45.3,1012.34,318.6
38.0,24.11,45.1,1012.46,320.5
39.0,24.11,44.83,1012.25,325.4
40.0,24.04,45.04,1012.37,324.2
41.0,24.03,44.85,1012.48,321.1
42.0,24.06,44.63,1012.41,323.0
43.0,24.08,44.7,1012.29,319.6
44.0,24.02,44.97,1012.4,314.4
45.0,23.98,44.69,1012.22,318.9
46.0,24.26,44.0,1012.34,324.0
47.0,23.97,45.48,1012.36,316.3
48.0,23.97,44.4,1012.38,319.2
49.0,23.88,45.06,1012.23,317.5
50.0,24.02,45.31,1012.45,313.5
51.0,23.96,45.14,1012.42,325.5
52.0,23.87,45.68,1012.26,318.4
53.0,24.0,45.35,1012.41,314.5
54.0,24.14,44.92,1012.54,321.4
55.0,24.07,45.13,1012.35,317.8
56.0,23.95,45.16,1012.39,316.9
57.0,23.94,45.15,1012.32,318.1
58.0,24.06,44.56,1012.52,316.3
59.0,24.03,45.33,1012.35,320.4
60.0,24.11,44.61,1012.48,320.1
61.0,23.93,45.39,1012.59,318.3
62.0,24.05,45.15,1012.54,316.5
63.0,23.87,44.71,1012.13,317.8
64.0,23.96,45.3,1012.62,312.1
65.0,24.0,45.07,1012.4,320.5
66.0,24.13,44.14,1012.43,320.5
67.0,23.88,45.65,1012.49,326.5
68.0,23.95,45.1,1012.51,318.4
69.0,24.02,44.73,1012.71,319.0
70.0,23.93,45.0,1012.44,326.4
71.0,24.04,44.56,1012.52,322.0
72.0,23.91,45.26,1012.55,321.8
73.0,24.0,44.61,1012.61,321.0
74.0,24.04,45.28,1012.38,328.9
75.0,23.97,45.14,1012.32,321.2
76.0,24.03,44.77,1012.25,317.3
77.0,23.97,45.06,1012.58,324.2
78.0,24.01,45.13,1012.37,319.6
79.0,24.1,44.73,1012.68,319.8
80.0,23.98,45.3,1012.32,318.9
81.0,23.91,46.03,1012.35,318.8
82.0,23.87,46.02,1012.35,320.5
83.0,23.95,45.21,1012.24,322.7
84.0,24.0,44.71,1012.51,321.6
85.0,24.04,45.52,1011.91,319.5
86.0,23.96,44.81,1012.52,318.8
87.0,24.07,44.26,1012.52,322.0
88.0,23.95,44.92,1012.57,319.5
89.0,23.97,45.51,1012.05,320.3
90.0,24.17,44.17,1012.45,320.0
91.0,24.01,44.69,1012.43,318.3
92.0,24.08,44.42,1012.48,318.8
93.0,24.12,44.33,1012.33,324.8
94.0,23.89,45.35,1012.26,316.8
95.0,23.96,45.24,1012.55,319.1
96.0,24.16,44.44,1012.13,323.1
97.0,24.01,45.34,1012.31,317.9
98.0,24.07,44.77,1012.28,319.1
99.0,24.03,45.06,1012.58,321.8
100.0,23.96,45.55,1012.51,318.5
101.0,23.92,45.08,1012.31,320.7
102.0,24.05,44.72,1012.33,321.5
103.0,23.98,44.03,1012.51,318.9
104.0,23.91,45.04,1012.48,324.0
105.0,23.96,45.37,1012.45,318.7
106.0,24.0,45.19,1012.16,321.6
107.0,23.94,44.63,1012.33,322.5
108.0,24.06,44.35,1012.11,321.2
109.0,24.13,44.37,1012.62,314.6
110.0,24.0,45.43,1012.37,315.0
111.0,23.9,45.02,1012.54,316.4
112.0,24.01,44.6,1012.39,320.0
113.0,23.88,45.41,1012.11,323.3
114.0,24.04,44.62,1012.3,319.9
115.0,24.04,45.18,1012.35,317.0
116.0,24.05,44.8,1012.59,323.7
117.0,24.08,44.71,1012.31,320.4
118.0,24.09,44.75,1012.42,322.8
119.0,24.01,45.12,1011.97,318.7
120.0,23.94,45.45,1012.43,326.5
121.0,24.07,45.37,1012.48,316.5
122.0,24.15,43.84,1012.65,314.7
123.0,24.0,44.89,1012.47,323.7
124.0,23.92,45.41,1012.2,321.0
125.0,23.93,45.68,1012.23,324.4
126.0,23.96,44.93,1012.55,320.5
127.0,23.85,45.63,1012.46,319.7
128.0,24.13,45.41,1012.6,322.7
129.0,24.07,45.03,1012.29,325.8
130.0,23.94,44.92,1012.29,314.1
131.0,24.03,45.09,1012.23,321.2
132.0,23.92,44.94,1012.46,315.2
133.0,23.97,44.74,1012.62,317.2
134.0,24.07,44.97,1012.42,321.0
135.0,24.01,44.39,1012.56,318.5
136.0,24.06,44.91,1012.48,320.0
137.0,23.95,44.79,1012.56,318.3
138.0,24.04,45.17,1012.31,321.2
139.0,24.01,45.43,1012.42,321.6
140.0,24.05,44.64,1012.54,321.0
141.0,24.06,44.68,1012.62,319.0
142.0,24.07,45.13,1012.42,318.4
143.0,23.98,44.81,1012.72,316.2
144.0,23.99,44.67,1012.37,322.2
145.0,23.98,44.73,1012.53,317.2
146.0,23.92,45.74,1012.28,320.3
147.0,23.89,45.06,1012.43,325.0
148.0,24.2,44.39,1012.26,318.4
149.0,24.16,44.6,1012.47,321.6
150.0,24.0,44.59,1012.32,318.3
151.0,23.85,44.71,1012.36,321.5
152.0,24.0,45.24,1012.41,321.7
153.0,23.94,45.23,1012.57,318.4
154.0,24.05,45.04,1012.08,319.8
155.0,23.81,45.11,1012.58,325.0
156.0,23.97,44.67,1012.44,319.2
157.0,23.97,44.51,1012.67,325.7
158.0,23.97,45.31,1012.17,316.7
159.0,23.89,44.85,1012.22,319.3
160.0,24.15,44.37,1012.33,321.5
161.0,23.9,44.91,1012.39,317.2
162.0,23.99,45.18,1012.35,320.4
163.0,23.93,44.92,1012.26,321.8
164.0,23.97,45.54,1012.59,321.4
165.0,24.04,44.34,1012.47,322.8
166.0,24.01,45.11,1012.24,320.8
167.0,23.98,44.79,1012.34,318.7
168.0,23.97,45.25,1012.36,316.5
169.0,24.01,45.14,1012.24,319.1
