timestamp,temperature,humidity,pressure,light
0.0,23.95,44.68,1012.61,320.4
1.0,23.89,45.11,1012.44,316.1
2.0,24.05,44.6,1012.24,318.6
3.0,24.1,45.11,1012.63,322.6
4.0,23.97,45.52,1012.46,324.4
5.0,24.03,44.66,1012.36,321.7
6.0,24.17,44.96,1012.53,318.9
7.0,24.1,45.1,1012.29,323.3
8.0,23.98,45.41,1012.57,317.8
9.0,24.03,45.15,1012.42,318.6
10.0,23.92,45.82,1012.48,321.1
11.0,23.97,45.02,1012.18,314.9
12.0,23.89,44.98,1012.49,316.1
13.0,24.02,45.04,1012.48,318.3
14.0,23.94,44.92,1012.46,323.7
15.0,24.08,45.32,1012.32,321.3
16.0,24.06,44.8,1012.21,314.9
17.0,24.15,44.75,1012.35,316.9
18.0,23.95,44.78,1012.42,317.7
19.0,23.96,45.58,1012.58,317.0
20.0,24.08,44.38,1012.28,318.1
21.0,23.97,44.79,1012.45,323.7
22.0,24.07,44.62,1012.4,320.1
23.0,23.9,44.97,1012.41,322.3
24.0,23.95,44.77,1012.5,315.5
25.0,23.95,45.06,1012.68,313.7
26.0,24.15,44.36,1012.45,318.3
27.0,23.9,45.36,1012.29,323.5
28.0,23.93,44.84,1012.76,319.2
29.0,24.11,45.26,1012.22,324.1
30.0,23.96,45.27,1012.56,319.4
31.0,24.04,45.49,1012.68,322.0
32.0,23.89,45.18,1012.17,315.4
33.0,24.08,45.36,1012.55,316.7
34.0,24.03,44.64,1012.4,322.7
35.0,24.01,45.02,1012.49,319.3
36.0,24.16,44.59,1012.59,317.6
37.0,23.97,45.14,1012.41,317.4
38.0,23.91,44.94,1012.64,319.8
39.0,23.93,45.15,1012.4,319.5
40.0,24.08,44.79,1012.45,322.7
41.0,24.07,44.06,1012.69,321.5
42.0,24.1,45.39,1012.39,320.4
43.0,24.08,44.67,1012.33,314.5
44.0,24.06,44.92,1012.18,326.4
45.0,24.04,44.53,1012.33,320.8
46.0,24.04,44.77,1012.35,317.8
47.0,24.0,44.78,1012.19,320.9
48.0,23.91,44.68,1012.35,321.2
49.0,24.03,44.59,1012.31,318.4
50.0,24.0,45.42,1012.4,321.0
51.0,23.77,45.47,1012.47,315.0
52.0,23.95,45.21,1012.51,315.9
53.0,23.97,44.97,1012.43,320.8
54.0,24.0,45.14,1012.6,316.7
55.0,24.0,45.48,1012.4,319.0
56.0,24.07,44.31,1012.57,317.9
57.0,24.07,44.93,1012.02,313.3
58.0,24.14,44.46,1012.29,322.3
59.0,24.07,44.36,1012.24,323.1
60.0,24.04,45.16,1012.52,314.1
61.0,23.99,44.62,1012.74,322.8
62.0,24.07,44.84,1012.38,326.2
63.0,24.02,44.19,1012.06,312.1
64.0,24.02,45.05,1012.38,324.5
65.0,24.12,44.69,1012.64,317.0
66.0,23.97,44.95,1012.39,321.5
67.0,24.0,44.56,1012.35,322.6
68.0,24.08,45.78,1012.23,316.1
69.0,24.0,44.63,1012.33,316.1
70.0,23.98,44.89,1012.45,320.9
71.0,23.98,43.86,1012.31,318.9
72.0,24.07,45.59,1012.46,323.8
73.0,24.02,44.64,1012.48,321.5
74.0,24.03,45.15,1012.13,325.6
75.0,23.89,44.84,1012.38,326.2
76.0,24.0,45.03,1012.4,318.6
77.0,23.98,45.36,1012.45,325.6
78.0,24.12,45.78,1012.35,320.0
79.0,23.9,44.71,1012.33,326.7
80.0,24.07,45.38,1012.29,317.8
81.0,24.02,44.52,1012.46,318.0
82.0,24.21,45.02,1012.31,316.8
83.0,24.09,45.44,1012.27,316.8
84.0,23.89,44.65,1012.39,316.6
85.0,24.04,44.76,1012.59,313.9
86.0,24.07,44.68,1012.52,320.6
87.0,23.98,44.85,1012.52,315.0
88.0,23.98,45.18,1012.39,319.1
89.0,23.94,45.13,1012.3,318.7
90.0,24.04,45.0,1012.32,321.9
91.0,24.09,45.17,1012.34,325.0
92.0,23.97,45.14,1012.42,323.0
93.0,23.96,44.95,1012.66,318.8
94.0,24.0,45.19,1012.27,319.4
95.0,23.98,44.94,1012.36,320.0
96.0,24.1,43.79,1012.17,318.4
97.0,23.86,45.36,1012.7,320.5
98.0,23.99,45.23,1012.38,322.7
99.0,24.07,44.8,1012.47,321.4
100.0,24.08,44.74,1012.37,318.8
101.0,24.05,44.96,1012.56,322.3
102.0,24.03,44.66,1012.47,316.3
103.0,24.08,45.16,1012.57,315.5
104.0,23.92,44.51,1012.66,323.2
105.0,23.87,45.01,1012.39,318.2
106.0,24.0,44.85,1012.41,323.4
107.0,24.06,45.59,1012.48,317.5
108.0,23.98,45.15,1012.33,318.6
109.0,24.02,45.15,1012.44,328.6
110.0,24.03,45.42,1012.44,316.8
111.0,23.98,44.56,1012.04,326.4
112.0,23.96,44.69,1012.37,316.1
113.0,24.08,44.59,1012.47,319.3
114.0,23.9,45.02,1012.39,321.2
115.0,24.05,45.01,1012.33,319.9
116.0,23.96,43.97,1012.53,320.3
117.0,23.89,45.45,1012.17,323.6
118.0,24.01,45.03,1012.32,323.5
119.0,24.04,44.79,1012.58,320.7
120.0,23.95,44.77,1012.33,318.5
121.0,23.9,44.52,1012.45,319.6
122.0,24.0,45.14,1012.32,317.7
123.0,24.0,44.52,1012.52,322.6
124.0,24.1,44.97,1012.54,322.2
125.0,23.95,44.99,1012.25,317.7
126.0,23.97,44.95,1012.57,319.6
127.0,23.99,44.93,1012.53,318.7
128.0,24.04,44.82,1012.62,320.4
129.0,23.86,45.3,1012.43,317.7
130.0,24.02,45.0,1012.52,321.2
131.0,23.9,45.06,1012.47,315.7
132.0,24.02,44.33,1012.44,324.2
133.0,24.13,45.33,1012.31,325.6
134.0,24.0,44.81,1012.4,322.3
135.0,24.0,45.19,1012.54,316.8
136.0,23.93,45.16,1012.34,318.5
137.0,23.97,44.89,1012.44,319.7
138.0,24.04,44.7,1012.53,318.3
139.0,24.12,44.74,1012.39,324.7
140.0,24.13,45.34,1012.6,322.5
141.0,23.89,45.04,1012.1,322.6
142.0,23.91,45.17,1012.39,324.8
143.0,24.02,44.13,1012.38,328.0
144.0,23.81,45.42,1012.38,318.1
145.0,23.95,44.99,1012.35,318.4
146.0,24.03,45.1,1012.53,317.8
147.0,24.0,44.63,1012.67,324.2
148.0,23.87,44.61,1012.42,317.8
149.0,23.86,44.42,1012.33,317.9
150.0,24.04,45.07,1012.23,326.0
151.0,23.98,45.65,1012.34,319.5
152.0,24.0,45.3,1012.49,322.9
153.0,23.82,44.88,1012.24,323.4
154.0,23.94,44.53,1012.66,319.3
155.0,23.97,45.44,1012.17,322.8
156.0,23.94,45.04,1012.41,318.1
157.0,23.96,44.0,1012.44,319.7
158.0,24.0,44.73,1012.48,318.2
159.0,23.96,44.93,1012.54,315.6
160.0,23.94,45.61,1012.31,321.4
161.0,24.03,44.72,1012.47,319.5
162.0,24.1,45.08,1012.27,322.0
163.0,23.98,45.35,1012.51,322.5
164.0,24.08,45.05,1012.3,323.8
165.0,23.98,44.51,1012.36,315.8
166.0,23.87,44.76,1012.47,321.2
167.0,24.01,44.88,1012.56,321.4
168.0,24.1,44.68,1012.76,324.1
169.0,24.03,45.44,1012.27,316.9
170.0,23.97,45.35,1012.62,323.6
171.0,24.06,45.41,1012.48,320.2
172.0,23.95,44.72,1012.48,321.4
173.0,24.06,45.56,1012.55,320.3
174.0,24.1,44.33,1012.3,319.4
175.0,24.08,44.36,1012.38,315.1
176.0,24.07,45.06,1012.45,324.3
177.0,23.88,44.44,1012.35,319.9
178.0,24.13,44.66,1012.33,320.1
179.0,23.95,44.81,1012.35,318.6
180.0,24.04,45.26,1012.68,318.9
