timestamp,temperature,humidity,pressure,light
0.0,23.99,45.02,1012.58,317.3
1.0,24.06,45.35,1012.39,325.4
2.0,23.91,44.74,1012.46,321.2
3.0,23.97,45.07,1012.62,322.0
4.0,24.0,44.67,1012.46,317.3
5.0,23.97,45.15,1012.54,322.7
6.0,24.02,44.26,1012.54,315.8
7.0,24.25,44.65,1012.42,320.6
8.0,23.98,45.56,1012.41,312.2
9.0,24.02,45.61,1012.23,321.7
10.0,23.92,45.09,1012.0,322.8
11.0,23.93,44.63,1012.34,323.5
12.0,24.14,45.73,1012.29,322.3
13.0,23.77,45.54,1012.4,311.9
14.0,23.9,45.68,1012.47,316.8
15.0,23.8,44.75,1012.63,319.6
16.0,23.87,44.24,1012.28,316.5
17.0,23.94,45.13,1012.32,320.0
18.0,24.02,45.17,1012.35,324.2
19.0,24.11,44.87,1012.36,321.8
20.0,23.91,45.71,1012.47,321.1
21.0,23.94,45.36,1012.49,325.1
22.0,24.07,45.54,1012.28,315.1
23.0,23.91,45.52,1012.44,317.0
24.0,23.84,44.64,1012.09,316.5
25.0,23.93,45.06,1012.71,317.3
26.0,24.04,44.69,1012.21,317.0
27.0,24.08,44.48,1012.25,318.4
28.0,24.06,45.68,1012.45,323.4
29.0,23.9,45.27,1012.41,321.9
30.0,24.07,45.67,1012.57,318.2
31.0,24.16,44.75,1012.57,318.3
32.0,24.11,45.37,1012.15,322.6
33.0,23.94,45.01,1012.24,323.1
34.0,23.94,45.29,1012.28,322.0
35.0,23.88,44.93,1012.38,324.3
36.0,24.07,45.53,1012.26,326.5
37.0,24.1,45.55,1012.52,317.6
38.0,24.13,45.02,1012.39,325.1
39.0,23.91,45.06,1012.39,320.9
40.0,23.97,44.8,1012.28,318.5
41.0,23.92,44.87,1012.22,319.4
42.0,24.03,44.52,1012.18,324.1
43.0,24.04,44.96,1012.46,316.8
44.0,24.09,44.85,1012.44,320.0
45.0,24.04,45.15,1012.47,320.9
46.0,23.96,45.1,1012.4,319.5
