timestamp,temperature,humidity,pressure,light
0.0,25.83,45.86,1012.18,331.0
1.0,24.56,45.4,1011.52,305.5
2.0,23.85,46.94,1012.29,342.3
3.0,24.43,46.89,1012.69,394.1
4.0,24.35,50.11,1012.63,316.5
5.0,23.36,46.86,1012.07,294.9
6.0,23.39,44.91,1012.42,345.5
7.0,23.22,44.81,1012.42,318.1
8.0,23.98,42.52,1012.68,279.9
9.0,24.97,43.38,1013.97,304.5
10.0,23.13,47.35,1013.06,285.3
11.0,25.39,51.0,1012.84,310.9
12.0,23.73,45.49,1012.73,308.1
13.0,23.71,46.25,1013.0,346.1
14.0,23.75,49.87,1012.16,309.7
15.0,24.43,44.74,1011.83,276.6
16.0,23.44,41.72,1012.28,335.9
17.0,24.69,45.33,1013.29,308.7
18.0,22.57,45.05,1013.08,317.7
19.0,24.51,42.96,1011.85,297.9
20.0,25.1,45.79,1011.59,267.3
21.0,25.68,44.16,1012.39,293.5
22.0,23.53,47.66,1012.77,238.5
23.0,23.11,42.75,1012.35,357.6
24.0,22.78,43.54,1012.71,299.2
25.0,24.62,43.78,1011.11,344.6
26.0,24.89,44.3,1011.9,325.4
27.0,23.8,41.09,1011.87,299.7
28.0,23.79,44.11,1011.8,345.5
29.0,23.12,47.95,1012.22,323.0
30.0,25.79,48.55,1012.54,305.2
31.0,23.92,44.44,1012.13,298.1
32.0,25.78,44.2,1011.24,347.1
33.0,22.9,41.66,1012.74,303.5
34.0,24.2,40.91,1011.72,325.7
35.0,23.91,43.18,1012.74,342.9
36.0,24.58,43.68,1013.14,301.8
37.0,23.28,43.61,1012.22,338.1
38.0,23.79,44.71,1011.87,298.8
39.0,22.38,46.61,1012.08,285.4
40.0,22.42,45.58,1011.63,315.4
41.0,24.07,45.06,1013.12,297.8
42.0,22.87,47.92,1012.47,330.6
43.0,23.55,44.12,1011.84,300.6
44.0,21.96,42.28,1013.41,343.8
45.0,23.98,41.47,1013.05,306.8
46.0,23.36,46.63,1014.0,295.6
47.0,25.81,44.58,1012.14,345.2
48.0,24.68,44.31,1012.27,332.3
49.0,24.38,38.16,1013.16,310.7
50.0,22.92,45.32,1011.49,287.8
51.0,24.56,43.13,1012.91,329.3
52.0,23.63,43.0,1011.37,348.1
53.0,26.24,50.64,1012.62,310.5
54.0,22.72,46.4,1013.45,340.3
55.0,25.21,43.73,1012.19,297.4
56.0,22.88,43.52,1013.21,349.3
57.0,24.13,42.76,1012.67,287.8
58.0,23.98,46.62,1013.13,317.7
59.0,24.44,46.38,1011.96,326.4
60.0,23.81,43.9,1012.65,325.3
61.0,24.26,41.45,1012.37,364.8
62.0,23.38,44.29,1012.91,325.0
63.0,24.17,42.68,1012.68,345.2
64.0,23.45,41.98,1013.34,297.2
65.0,24.15,41.88,1012.63,295.0
66.0,23.3,47.18,1011.17,285.2
67.0,25.35,45.73,1012.64,347.0
68.0,25.19,48.29,1012.14,349.7
69.0,24.9,48.53,1011.81,367.1
70.0,25.53,45.97,1011.09,290.4
71.0,23.36,42.96,1012.77,251.8
72.0,23.39,39.69,1011.44,352.6
73.0,22.94,43.27,1013.42,329.8
74.0,23.77,41.37,1013.62,384.5
75.0,24.25,43.76,1012.74,305.5
76.0,23.56,43.66,1012.24,326.2
77.0,23.77,46.14,1012.65,359.2
78.0,25.13,44.42,1012.54,323.2
79.0,24.61,46.57,1012.29,332.2
80.0,23.23,41.63,1012.9,318.8
81.0,24.67,46.01,1012.69,295.7
82.0,26.17,46.61,1011.67,310.8
83.0,23.4,43.61,1013.58,284.6
84.0,22.3,46.45,1011.61,318.7
85.0,24.01,41.82,1012.42,285.5
86.0,24.28,42.38,1011.55,326.8
87.0,23.83,45.64,1013.09,249.8
88.0,21.32,45.8,1013.2,329.5
89.0,25.44,42.75,1013.06,362.4
90.0,23.39,45.85,1013.07,302.5
91.0,24.4,48.8,1011.93,312.7
92.0,24.35,43.51,1012.4,299.8
93.0,22.74,45.43,1012.39,359.6
94.0,25.49,46.22,1011.83,322.4
95.0,22.91,45.08,1012.99,323.9
96.0,22.15,46.77,1013.04,291.2
97.0,23.87,43.34,1011.94,350.2
98.0,25.27,44.68,1013.1,302.0
99.0,25.18,43.97,1012.22,349.2
100.0,24.1,43.26,1013.09,300.5
101.0,23.43,44.52,1012.64,353.2
102.0,25.58,46.04,1012.63,333.4
103.0,23.38,47.24,1012.59,310.6
104.0,22.66,45.44,1011.98,359.9
105.0,24.64,48.96,1012.14,320.2
106.0,24.18,45.98,1012.46,350.9
107.0,25.37,43.97,1012.49,319.4
108.0,22.34,48.86,1011.52,335.4
109.0,24.63,43.55,1011.67,292.7
110.0,25.06,41.48,1013.64,287.9
111.0,24.17,45.49,1011.52,301.5
112.0,24.63,46.99,1012.33,341.8
113.0,24.65,44.7,1012.47,355.3
114.0,26.2,45.31,1012.84,300.2
115.0,22.61,40.58,1013.75,302.0
116.0,23.39,45.64,1012.3,309.2
117.0,23.48,44.69,1011.81,300.6
118.0,24.81,43.45,1012.85,310.3
119.0,24.15,43.54,1012.19,312.9
120.0,24.33,47.57,1012.88,330.5
121.0,24.53,43.64,1012.47,330.8
122.0,24.26,44.85,1012.34,309.9
123.0,24.03,46.64,1011.62,296.7
124.0,24.12,41.3,1013.35,325.3
125.0,24.34,41.75,1012.4,329.0
126.0,22.56,43.44,1012.83,311.2
127.0,25.39,42.68,1012.61,336.8
128.0,23.83,50.4,1013.61,303.5
129.0,23.76,45.46,1013.12,297.8
130.0,23.57,47.06,1012.43,326.1
131.0,22.64,40.84,1012.56,329.7
132.0,24.48,43.17,1012.63,309.2
133.0,23.51,46.82,1012.17,291.4
134.0,23.05,48.29,1013.02,292.9
135.0,24.37,43.95,1011.98,312.8
136.0,22.38,37.97,1013.69,365.9
137.0,22.26,46.27,1010.69,330.3
138.0,25.91,43.58,1012.81,322.9
139.0,24.58,50.8,1012.82,339.0
140.0,24.31,45.77,1011.27,277.7
141.0,25.0,44.81,1012.15,349.6
142.0,23.78,44.47,1012.47,285.6
143.0,24.45,43.95,1011.61,336.6
144.0,25.4,46.03,1012.78,257.8
145.0,24.71,44.91,1012.4,290.9
146.0,24.47,43.33,1012.57,329.6
147.0,23.79,44.66,1012.39,352.2
148.0,23.81,44.63,1012.07,301.9
149.0,25.25,41.28,1011.6,357.8
150.0,23.82,46.22,1012.58,336.4
151.0,24.06,41.38,1011.98,332.3
152.0,24.46,47.19,1012.06,301.7
153.0,24.02,46.03,1011.49,316.7
154.0,23.73,43.64,1012.81,296.2
155.0,24.34,43.98,1012.19,337.5
156.0,22.0,45.59,1011.13,327.9
157.0,23.94,40.24,1012.65,318.1
158.0,23.94,43.47,1010.8,285.2
159.0,24.4,42.68,1011.91,312.5
160.0,24.48,47.17,1011.89,303.5
161.0,24.25,41.93,1012.11,291.3
162.0,25.15,45.33,1012.8,311.1
163.0,23.72,45.79,1012.85,324.2
164.0,23.95,45.31,1012.39,339.8
165.0,25.14,49.17,1011.46,305.5
166.0,24.77,44.27,1011.93,307.6
167.0,22.39,41.86,1012.63,308.3
168.0,25.28,43.71,1012.38,355.1
169.0,22.94,49.37,1012.21,344.3
170.0,25.8,45.99,1013.23,367.3
171.0,24.06,41.0,1013.02,319.8
172.0,23.34,46.76,1012.4,373.9
173.0,25.27,46.8,1013.17,336.9
174.0,24.35,44.7,1012.6,315.6
175.0,25.06,47.29,1012.77,332.1
176.0,24.13,47.4,1012.07,324.2
177.0,24.08,44.26,1012.69,323.1
178.0,23.68,45.81,1011.67,290.7
179.0,25.24,48.38,1012.42,328.7
180.0,25.02,48.42,1012.58,296.1
181.0,22.74,48.21,1012.49,326.5
182.0,23.63,48.63,1012.96,296.0
183.0,22.91,52.1,1013.01,327.5
184.0,23.52,45.55,1011.93,330.4
