timestamp,temperature,humidity,pressure,light
0.0,23.85,45.54,1012.55,317.4
1.0,24.03,45.15,1012.31,321.7
2.0,24.15,45.55,1012.38,320.2
3.0,23.95,45.55,1012.29,323.2
4.0,24.01,44.81,1012.32,319.3
5.0,23.96,45.59,1012.51,316.0
6.0,24.16,44.68,1012.29,321.4
7.0,24.03,45.45,1012.3,323.8
8.0,23.95,45.24,1012.44,316.8
9.0,23.97,44.9,1012.39,318.3
10.0,24.14,45.42,1012.3,322.6
11.0,24.07,45.01,1012.21,317.6
12.0,24.05,45.61,1012.55,316.0
13.0,24.01,45.34,1012.21,318.6
14.0,24.0,45.36,1012.65,322.3
15.0,24.05,45.38,1012.49,324.0
16.0,24.01,45.09,1012.34,319.2
17.0,24.09,44.92,1012.71,322.8
18.0,23.97,44.49,1012.62,320.9
19.0,24.03,45.17,1012.5,318.6
20.0,23.97,44.7,1012.25,323.2
21.0,24.14,44.64,1012.41,316.7
22.0,23.95,45.38,1012.15,314.7
23.0,24.04,44.64,1012.32,323.0
24.0,23.94,45.76,1012.37,316.1
25.0,24.02,44.84,1012.13,319.3
26.0,23.84,45.27,1012.32,315.4
27.0,24.08,45.45,1012.51,319.3
28.0,24.04,44.84,1012.24,326.3
29.0,24.05,44.81,1012.28,320.9
30.0,23.88,44.31,1012.41,314.4
31.0,24.04,44.99,1012.66,321.2
32.0,24.04,44.25,1012.14,317.9
33.0,24.18,46.18,1012.14,320.2
34.0,24.02,45.5,1012.58,319.2
35.0,24.19,45.04,1012.17,322.0
36.0,24.03,44.6,1012.23,320.6
37.0,24.0,45.26,1012.43,321.1
38.0,23.95,44.45,1012.57,319.9
39.0,23.81,44.86,1012.48,321.4
40.0,23.8,44.86,1012.22,320.7
41.0,23.96,44.93,1012.29,319.5
42.0,24.04,45.16,1012.35,321.8
43.0,24.01,45.08,1012.46,317.1
44.0,23.98,44.94,1012.31,320.6
45.0,23.85,44.67,1012.47,323.5
46.0,24.08,44.57,1012.65,318.6
47.0,23.91,45.55,1012.58,321.1
48.0,24.09,45.02,1012.11,318.7
49.0,24.1,44.35,1012.51,322.0
50.0,23.91,45.48,1012.32,316.6
51.0,24.09,45.6,1012.42,312.2
52.0,24.08,45.14,1012.4,321.0
53.0,24.07,45.05,1012.54,318.0
54.0,24.03,45.12,1012.53,323.6
55.0,23.85,44.72,1012.4,322.3
56.0,24.06,45.18,1012.42,321.3
57.0,24.11,44.96,1012.18,321.3
58.0,24.04,45.75,1012.52,322.0
59.0,24.04,45.5,1012.37,319.1
60.0,23.94,45.02,1012.18,322.7
61.0,24.01,45.18,1012.57,322.6
62.0,24.05,44.98,1012.51,321.5
63.0,23.91,44.66,1012.32,323.1
64.0,23.88,44.51,1012.47,319.8
65.0,24.05,45.77,1012.25,319.9
66.0,24.0,45.2,1012.45,327.5
67.0,23.88,45.53,1012.26,323.0
68.0,24.02,45.25,1012.33,319.3
69.0,24.14,44.82,1012.52,318.1
70.0,24.04,45.57,1012.32,320.7
71.0,24.0,44.66,1012.38,320.6
72.0,23.88,45.63,1012.33,318.7
73.0,24.01,44.02,1012.37,323.0
74.0,24.01,44.77,1012.2,318.4
75.0,23.89,44.98,1012.33,323.1
76.0,24.07,44.82,1012.34,324.9
77.0,24.05,44.91,1012.2,325.4
78.0,24.14,45.18,1012.63,319.1
79.0,24.01,44.4,1012.31,320.5
80.0,23.97,45.01,1012.54,320.7
81.0,23.88,45.55,1012.3,321.2
82.0,23.88,44.77,1012.66,321.8
83.0,24.01,44.68,1012.43,327.3
84.0,24.06,45.21,1012.3,324.2
85.0,23.94,44.94,1012.44,320.6
86.0,24.05,44.68,1012.26,317.1
87.0,23.98,44.44,1012.13,317.3
88.0,24.03,45.25,1012.39,326.7
89.0,24.11,45.06,1012.44,317.3
90.0,23.98,44.35,1012.49,318.2
91.0,23.91,45.09,1012.29,324.0
92.0,23.99,44.23,1012.22,320.0
93.0,23.97,44.99,1012.46,315.2
94.0,24.1,45.09,1012.4,323.2
95.0,24.0,45.03,1012.63,318.1
96.0,24.01,45.1,1012.53,324.4
97.0,23.93,45.05,1012.44,320.1
98.0,24.02,44.93,1012.29,318.7
99.0,24.1,44.78,1012.24,316.9
100.0,23.98,45.3,1012.31,319.7
101.0,24.17,44.69,1012.29,321.1
102.0,24.01,44.96,1012.56,321.1
103.0,24.01,45.33,1012.31,319.5
104.0,24.14,45.46,1012.39,324.0
105.0,24.07,44.47,1012.36,318.6
106.0,23.81,44.83,1012.4,312.4
107.0,24.05,45.29,1012.59,323.0
108.0,24.05,45.15,1012.8,319.4
109.0,23.84,45.11,1012.41,321.9
110.0,24.0,45.36,1012.35,316.0
111.0,24.01,45.39,1012.43,318.7
112.0,24.05,44.92,1012.21,317.8
113.0,23.98,45.14,1012.6,316.6
114.0,23.96,44.99,1012.46,323.2
115.0,24.0,45.12,1012.55,320.7
116.0,24.04,44.41,1012.54,321.8
117.0,23.98,45.02,1012.35,319.5
118.0,24.04,45.73,1012.56,322.0
119.0,23.87,44.91,1012.25,322.6
120.0,23.99,44.61,1012.33,319.8
121.0,24.04,45.1,1012.62,322.2
122.0,23.95,45.21,1012.36,319.0
123.0,23.92,45.18,1012.15,326.6
124.0,24.04,44.79,1012.29,327.1
125.0,23.95,44.97,1012.26,317.3
126.0,24.03,45.4,1012.46,322.5
127.0,24.0,44.47,1012.36,314.2
128.0,23.99,44.91,1012.32,320.5
129.0,24.03,45.57,1012.49,316.8
130.0,24.11,44.81,1012.16,318.7
131.0,24.02,45.23,1012.75,321.1
132.0,24.02,44.77,1012.54,319.3
133.0,24.1,44.44,1012.37,319.4
134.0,23.96,45.29,1012.51,319.9
135.0,23.98,45.4,1012.34,317.7
136.0,24.09,45.14,1012.4,319.9
137.0,24.03,45.29,1012.45,318.7
138.0,23.95,45.13,1012.32,320.2
139.0,24.04,44.92,1012.31,319.5
140.0,23.93,44.54,1012.43,319.9
141.0,24.0,44.05,1012.42,320.1
142.0,24.04,44.91,1012.21,322.3
143.0,23.98,44.95,1012.54,323.6
144.0,24.08,44.52,1012.28,320.3
145.0,23.96,45.51,1012.38,319.5
146.0,23.99,44.83,1012.25,321.7
147.0,23.95,44.48,1012.74,312.9
148.0,24.06,44.97,1012.48,321.1
149.0,23.94,44.89,1012.27,317.8
150.0,24.06,45.76,1012.57,324.1
151.0,24.05,44.7,1012.57,321.7
152.0,24.09,45.39,1012.33,316.8
153.0,23.89,45.55,1012.45,321.8
154.0,24.04,44.96,1012.19,318.9
155.0,24.11,45.04,1012.76,321.5
156.0,23.92,45.0,1012.32,321.2
157.0,23.86,45.14,1012.55,319.1
158.0,24.04,45.06,1012.68,319.7
159.0,24.01,45.01,1012.24,319.8
160.0,24.1,46.05,1012.3,320.7
161.0,23.96,45.4,1012.54,323.1
162.0,23.92,45.65,1012.57,320.0
163.0,23.95,44.87,1012.41,322.2
164.0,24.01,44.36,1012.27,323.8
165.0,24.02,44.89,1012.23,321.5
166.0,23.92,45.08,1012.71,318.2
