scenario,scenario_label,strategy,n_ground_truth,number_of_samples,sampling_reduction,number_of_uploads,communication_reduction,data_volume_bytes,average_sampling_interval_s,n_gt_events,event_detection_rate,missed_events,false_positive_events,false_positive_per_hour,avg_detection_latency_s,median_detection_latency_s,energy_proxy_mj
a,Scenario A-stable,Fixed-5s,7200.0,1440.0,0.8,1440.0,0.8,138240.0,4.999305555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0
a,Scenario A-stable,Fixed-10s,7200.0,720.0,0.9,720.0,0.9,69120.0,9.998611111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0
a,Scenario A-stable,Fixed-20s,7200.0,360.0,0.95,360.0,0.95,34560.0,19.997222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
a,Scenario A-stable,Fixed-40s,7200.0,180.0,0.975,180.0,0.975,17280.0,39.99444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
a,Scenario A-stable,Fixed-60s,7200.0,120.0,0.9833333333333333,120.0,0.9833333333333333,11520.0,59.99166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
a,Scenario A-stable,AdaptiveSense,7200.0,121.0,0.9831944444444445,120.0,0.9833333333333333,11520.0,59.49586776859504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
b,Scenario B-sudden,Fixed-5s,1800.0,360.0,0.8,360.0,0.8,34560.0,4.997222222222222,2.0,1.0,0.0,0.0,0.0,1.0,1.0,360.0
b,Scenario B-sudden,Fixed-10s,1800.0,180.0,0.9,180.0,0.9,17280.0,9.994444444444444,2.0,1.0,0.0,1.0,2.001111728738188,6.0,6.0,180.0
b,Scenario B-sudden,Fixed-20s,1800.0,90.0,0.95,90.0,0.95,8640.0,19.988888888888887,2.0,1.0,0.0,3.0,6.003335186214564,6.0,6.0,90.0
b,Scenario B-sudden,Fixed-40s,1800.0,45.0,0.975,45.0,0.975,4320.0,39.977777777777774,2.0,1.0,0.0,2.0,4.002223457476376,6.0,6.0,45.0
b,Scenario B-sudden,Fixed-60s,1800.0,30.0,0.9833333333333333,30.0,0.9833333333333333,2880.0,59.96666666666667,2.0,1.0,0.0,2.0,4.002223457476376,26.0,26.0,30.0
b,Scenario B-sudden,AdaptiveSense,1800.0,79.0,0.9561111111111111,42.0,0.9766666666666667,4032.0,22.772151898734176,2.0,1.0,0.0,0.0,0.0,26.0,26.0,42.0
c,Scenario C-mixed,Fixed-5s,7200.0,1440.0,0.8,1440.0,0.8,138240.0,4.999305555555556,2.0,1.0,0.0,0.0,0.0,2.5,2.5,1440.0
c,Scenario C-mixed,Fixed-10s,7200.0,720.0,0.9,720.0,0.9,69120.0,9.998611111111112,2.0,1.0,0.0,0.0,0.0,7.5,7.5,720.0
c,Scenario C-mixed,Fixed-20s,7200.0,360.0,0.95,360.0,0.95,34560.0,19.997222222222224,2.0,1.0,0.0,0.0,0.0,17.5,17.5,360.0
c,Scenario C-mixed,Fixed-40s,7200.0,180.0,0.975,180.0,0.975,17280.0,39.99444444444445,2.0,1.0,0.0,0.0,0.0,37.5,37.5,180.0
c,Scenario C-mixed,Fixed-60s,7200.0,120.0,0.9833333333333333,120.0,0.9833333333333333,11520.0,59.99166666666667,2.0,0.5,1.0,0.0,0.0,58.0,58.0,120.0
c,Scenario C-mixed,AdaptiveSense,7200.0,170.0,0.9763888888888889,143.0,0.9801388888888889,13728.0,42.34705882352941,2.0,1.0,0.0,0.0,0.0,37.5,37.5,143.0
