timestamp,temperature,humidity,pressure,light,state,interval_s,score,upload,detected_event
0.0,24.07,45.09,1012.35,321.2,STABLE,20.0,0.0,0,0
20.0,23.88,45.61,1012.47,317.6,STABLE,40.0,1.2667,1,0
60.0,24.11,44.98,1012.48,320.1,STABLE,60.0,0.5833,1,0
120.0,23.94,45.25,1012.43,326.5,STABLE,60.0,0.7833,1,0
180.0,24.03,44.83,1012.45,321.8,STABLE,60.0,0.4462,1,0
240.0,23.95,44.57,1012.05,320.5,STABLE,60.0,0.5481,1,0
300.0,23.99,44.54,1012.62,318.9,STABLE,60.0,0.3116,1,0
360.0,23.94,45.57,1012.5,320.9,STABLE,60.0,1.1317,1,0
420.0,23.95,44.51,1012.54,321.4,STABLE,60.0,0.7591,1,0
480.0,23.94,44.47,1012.41,321.3,STABLE,60.0,0.4296,1,0
540.0,23.91,45.45,1012.19,321.1,STABLE,60.0,1.0102,1,0
600.0,24.08,44.63,1012.39,323.6,STABLE,60.0,1.0058,1,0
660.0,24.01,44.67,1012.45,319.5,STABLE,60.0,0.2099,1,0
720.0,24.13,45.26,1012.38,323.5,STABLE,60.0,0.8181,1,0
780.0,23.93,45.03,1012.28,323.7,STABLE,60.0,0.9243,1,0
840.0,23.9,44.79,1012.39,323.2,STABLE,60.0,0.6621,1,0
900.0,23.99,44.81,1012.4,322.9,STABLE,60.0,0.2689,1,0
960.0,23.87,45.55,1012.57,319.6,STABLE,60.0,0.8661,1,0
1020.0,24.05,45.1,1012.3,327.7,STABLE,60.0,0.8672,1,0
1080.0,23.98,45.37,1012.4,324.2,STABLE,60.0,0.2728,1,0
1140.0,24.07,44.22,1012.35,321.8,STABLE,60.0,1.3011,1,0
1200.0,23.99,44.13,1012.27,327.3,STABLE,60.0,0.7631,1,0
1260.0,23.93,45.8,1012.31,324.9,STABLE,60.0,1.706,1,0
1320.0,24.05,45.07,1012.19,321.6,STABLE,60.0,0.5396,1,0
1380.0,23.91,45.16,1012.27,321.9,STABLE,60.0,0.6635,1,0
1440.0,23.91,45.18,1012.19,325.0,STABLE,60.0,0.3318,1,0
1500.0,23.97,44.99,1012.45,322.3,STABLE,60.0,0.2341,1,0
1560.0,23.96,44.95,1012.44,321.8,STABLE,60.0,0.1522,1,0
1620.0,23.85,45.06,1012.51,320.2,STABLE,60.0,0.7081,1,0
1680.0,23.98,44.68,1012.56,322.0,STABLE,60.0,0.5126,1,0
1740.0,24.07,45.53,1012.14,321.1,STABLE,60.0,0.8563,1,0
1800.0,23.94,45.44,1012.61,324.4,STABLE,60.0,0.4385,1,0
1860.0,24.07,44.92,1012.19,325.3,STABLE,60.0,0.6474,1,0
1920.0,24.03,45.63,1012.39,324.4,STABLE,60.0,0.6394,1,0
1980.0,24.01,46.0,1012.41,332.1,STABLE,60.0,0.7822,1,0
2040.0,23.84,44.93,1012.11,325.3,STABLE,60.0,1.1857,1,0
2100.0,23.86,44.93,1012.5,317.3,STABLE,60.0,0.4732,1,0
2160.0,23.83,45.78,1012.62,321.2,STABLE,60.0,0.8259,1,0
2220.0,24.07,44.5,1012.13,325.2,STABLE,60.0,1.3851,1,0
2280.0,23.94,45.11,1012.61,324.8,STABLE,60.0,0.1741,1,0
2340.0,24.11,45.18,1012.59,322.2,STABLE,60.0,1.0463,1,0
2400.0,23.98,43.82,1012.55,323.7,STABLE,60.0,1.614,1,0
2460.0,24.05,45.54,1012.65,325.4,STABLE,60.0,1.343,1,0
2520.0,24.03,44.88,1012.47,327.9,STABLE,60.0,0.1535,1,0
2580.0,23.93,45.05,1012.27,325.5,STABLE,60.0,0.6596,1,0
2640.0,24.07,44.53,1012.45,327.8,STABLE,60.0,0.6035,1,0
2700.0,23.95,45.32,1012.35,323.0,STABLE,60.0,0.6964,1,0
2760.0,23.96,44.33,1012.41,327.8,STABLE,60.0,0.8893,1,0
2820.0,23.92,45.39,1012.2,320.6,STABLE,60.0,0.8804,1,0
2880.0,23.95,44.14,1012.43,319.4,STABLE,60.0,1.1223,1,0
2940.0,23.94,45.39,1012.38,323.8,STABLE,60.0,1.0013,1,0
3000.0,23.95,46.32,1012.56,320.8,STABLE,60.0,1.6632,1,0
3060.0,24.0,44.3,1012.43,320.5,STABLE,60.0,1.6934,1,0
3120.0,23.87,44.84,1012.34,320.5,STABLE,60.0,0.6904,1,0
3180.0,24.12,44.67,1012.33,322.3,STABLE,60.0,1.3215,1,0
3240.0,23.99,45.22,1012.34,315.9,STABLE,60.0,0.5383,1,0
3300.0,24.02,44.72,1012.46,320.2,STABLE,60.0,0.3558,1,0
3360.0,23.91,45.2,1012.47,316.1,STABLE,60.0,0.6848,1,0
3420.0,24.04,45.6,1012.3,315.9,STABLE,60.0,0.711,1,0
3480.0,23.94,45.39,1012.29,316.5,STABLE,60.0,0.4045,1,0
3540.0,24.06,44.45,1012.51,318.9,STABLE,60.0,1.1285,1,0
3600.0,23.77,45.46,1012.43,324.5,STABLE,60.0,1.6345,1,0
3660.0,24.07,45.21,1012.28,313.1,STABLE,60.0,1.1828,1,0
3720.0,24.07,45.15,1012.43,323.1,STABLE,60.0,0.5914,1,0
3780.0,23.91,44.79,1012.59,319.5,STABLE,60.0,0.771,1,0
3840.0,23.99,44.86,1012.64,318.2,STABLE,60.0,0.1517,1,0
3900.0,24.08,45.09,1012.61,318.4,STABLE,60.0,0.6739,1,0
3960.0,23.97,44.56,1012.54,324.6,STABLE,60.0,0.5567,1,0
4020.0,23.95,45.48,1012.36,318.4,STABLE,60.0,0.8717,1,0
4080.0,24.04,44.87,1012.28,317.7,STABLE,60.0,0.4342,1,0
4140.0,23.98,44.32,1012.28,316.0,STABLE,60.0,0.8508,1,0
4200.0,23.95,44.89,1012.32,317.3,STABLE,60.0,0.2914,1,0
4260.0,24.0,44.86,1012.3,314.4,STABLE,60.0,0.1876,1,0
4320.0,24.11,44.16,1012.52,321.7,STABLE,60.0,0.8271,1,0
4380.0,24.0,44.58,1012.21,319.1,STABLE,60.0,0.3198,1,0
4440.0,23.99,45.18,1012.06,321.4,STABLE,60.0,0.807,1,0
4500.0,23.95,45.08,1012.4,321.2,STABLE,60.0,0.3799,1,0
4560.0,24.01,45.24,1012.29,320.5,STABLE,60.0,0.3393,1,0
4620.0,24.04,44.86,1012.24,316.2,STABLE,60.0,0.3054,1,0
4680.0,24.1,44.67,1012.68,317.4,STABLE,60.0,0.5525,1,0
4740.0,23.98,44.9,1012.28,315.5,STABLE,60.0,0.5237,1,0
4800.0,23.94,45.04,1012.37,315.9,STABLE,60.0,0.5285,1,0
4860.0,23.82,44.92,1012.46,310.8,STABLE,60.0,1.0643,1,0
4920.0,23.87,45.32,1012.44,323.3,STABLE,60.0,0.4803,1,0
4980.0,24.05,44.91,1012.44,317.0,STABLE,60.0,1.1006,1,0
5040.0,24.01,45.58,1012.64,312.9,STABLE,60.0,0.7013,1,0
5100.0,23.83,44.56,1012.59,313.2,STABLE,60.0,1.0582,1,0
5160.0,23.98,44.22,1012.31,321.2,STABLE,60.0,0.8872,1,0
5220.0,23.97,45.16,1012.42,314.0,STABLE,60.0,0.7314,1,0
5280.0,23.99,45.29,1012.4,319.6,STABLE,60.0,0.5282,1,0
5340.0,24.05,44.18,1012.57,321.6,STABLE,60.0,1.1234,1,0
5400.0,23.97,44.93,1012.4,311.9,STABLE,60.0,0.3758,1,0
5460.0,24.03,45.43,1012.21,313.2,STABLE,60.0,0.8129,1,0
5520.0,24.04,45.01,1012.18,313.3,STABLE,60.0,0.1969,1,0
5580.0,24.17,45.41,1012.66,321.8,STABLE,60.0,0.9651,1,0
5640.0,23.93,44.64,1012.19,313.6,STABLE,60.0,1.1174,1,0
5700.0,24.01,44.67,1012.29,327.7,STABLE,60.0,0.3992,1,0
5760.0,24.08,45.01,1012.5,312.2,STABLE,60.0,0.454,1,0
5820.0,23.94,44.84,1012.14,317.7,STABLE,60.0,0.7063,1,0
5880.0,24.01,45.02,1012.42,317.6,STABLE,60.0,0.1833,1,0
