timestamp,temperature,humidity,pressure,light,state,interval_s,score,upload_requested,detected_event
0.0,24.04,44.95,1012.26,318.8,FIXED,5.0,,1,0
5.0,23.81,46.12,1012.2,316.7,FIXED,5.0,,1,0
10.0,24.03,44.87,1012.37,321.1,FIXED,5.0,,1,0
15.0,24.11,45.23,1012.45,319.6,FIXED,5.0,,1,0
20.0,23.8,45.27,1012.37,316.4,FIXED,5.0,,1,0
25.0,23.99,45.17,1012.49,316.4,FIXED,5.0,,1,0
30.0,23.99,45.23,1012.34,323.7,FIXED,5.0,,1,0
35.0,24.15,44.89,1012.52,320.5,FIXED,5.0,,1,0
40.0,23.94,45.48,1012.19,320.4,FIXED,5.0,,1,0
45.0,24.06,44.9,1012.24,323.5,FIXED,5.0,,1,0
50.0,24.03,45.44,1012.65,318.7,FIXED,5.0,,1,0
55.0,24.03,45.79,1012.45,321.2,FIXED,5.0,,1,0
60.0,24.01,45.19,1012.52,323.8,FIXED,5.0,,1,0
65.0,23.95,45.25,1012.46,323.2,FIXED,5.0,,1,0
70.0,23.98,46.03,1012.55,314.9,FIXED,5.0,,1,0
75.0,24.08,44.92,1012.57,324.6,FIXED,5.0,,1,0
80.0,23.99,45.05,1012.36,318.6,FIXED,5.0,,1,0
85.0,24.08,44.76,1012.46,320.6,FIXED,5.0,,1,0
90.0,24.07,44.23,1012.56,322.5,FIXED,5.0,,1,0
95.0,23.88,45.45,1012.54,321.5,FIXED,5.0,,1,0
100.0,23.98,45.58,1012.46,318.3,FIXED,5.0,,1,0
105.0,24.07,44.48,1012.28,318.3,FIXED,5.0,,1,0
110.0,24.08,45.38,1012.29,322.1,FIXED,5.0,,1,0
115.0,24.12,45.2,1012.87,322.8,FIXED,5.0,,1,0
120.0,23.93,44.98,1012.4,317.5,FIXED,5.0,,1,0
125.0,24.02,45.74,1012.47,316.1,FIXED,5.0,,1,0
130.0,24.17,44.86,1012.51,319.6,FIXED,5.0,,1,0
135.0,24.07,44.63,1012.61,317.8,FIXED,5.0,,1,0
140.0,23.94,44.78,1012.52,318.0,FIXED,5.0,,1,0
145.0,23.95,45.17,1012.35,321.7,FIXED,5.0,,1,0
150.0,24.03,45.26,1012.5,326.4,FIXED,5.0,,1,0
155.0,23.95,44.72,1012.57,324.2,FIXED,5.0,,1,0
160.0,24.0,44.52,1012.37,317.4,FIXED,5.0,,1,0
165.0,23.98,44.87,1012.54,315.8,FIXED,5.0,,1,0
170.0,24.03,44.08,1012.74,321.2,FIXED,5.0,,1,0
175.0,24.01,45.36,1012.67,318.2,FIXED,5.0,,1,0
180.0,24.04,44.76,1012.31,320.4,FIXED,5.0,,1,0
185.0,24.05,44.46,1012.44,314.8,FIXED,5.0,,1,0
190.0,24.2,45.2,1012.41,319.2,FIXED,5.0,,1,0
195.0,23.98,45.42,1012.18,321.3,FIXED,5.0,,1,0
200.0,24.08,44.85,1012.38,321.5,FIXED,5.0,,1,0
205.0,23.92,44.84,1012.35,318.9,FIXED,5.0,,1,0
210.0,23.99,44.68,1012.28,318.1,FIXED,5.0,,1,0
215.0,23.84,45.01,1012.16,316.5,FIXED,5.0,,1,0
220.0,23.96,45.76,1012.49,318.3,FIXED,5.0,,1,0
225.0,24.0,45.06,1012.25,318.9,FIXED,5.0,,1,0
230.0,24.01,45.39,1012.68,320.0,FIXED,5.0,,1,0
235.0,23.96,44.85,1012.43,323.8,FIXED,5.0,,1,0
240.0,23.82,44.77,1012.39,322.9,FIXED,5.0,,1,0
245.0,24.12,45.08,1012.48,320.9,FIXED,5.0,,1,0
250.0,23.94,45.14,1012.27,325.2,FIXED,5.0,,1,0
255.0,24.03,44.74,1012.36,322.2,FIXED,5.0,,1,0
260.0,23.98,44.76,1012.65,321.0,FIXED,5.0,,1,0
265.0,23.97,45.63,1012.37,314.9,FIXED,5.0,,1,0
