timestamp,temperature,humidity,pressure,light,state,interval_s,score,upload,detected_event
0.0,24.07,44.77,1012.35,321.2,STABLE,20.0,0.0,0,0
20.0,23.87,46.13,1012.47,317.6,STABLE,40.0,1.7,1,0
60.0,24.11,44.51,1012.48,320.1,STABLE,60.0,0.75,1,0
120.0,23.94,45.51,1012.43,326.5,STABLE,60.0,0.8,1,0
180.0,24.03,44.71,1012.45,321.8,STABLE,60.0,0.6,1,0
240.0,23.95,44.78,1012.05,320.5,STABLE,60.0,0.4267,1,0
300.0,23.99,44.59,1012.62,318.9,STABLE,60.0,0.3437,1,0
360.0,23.94,45.83,1012.5,320.9,STABLE,60.0,1.3781,1,0
420.0,23.95,44.73,1012.54,321.4,STABLE,60.0,0.6859,1,0
480.0,23.94,44.71,1012.41,321.3,STABLE,60.0,0.368,1,0
540.0,23.91,45.83,1012.19,321.1,STABLE,60.0,1.216,1,0
600.0,24.08,44.29,1012.39,323.6,STABLE,60.0,1.317,1,0
660.0,29.01,22.12,1012.45,319.5,ACTIVE,60.0,33.3696,1,0
720.0,29.16,22.06,1012.38,323.5,ALERT,5.0,17.6848,1,1
725.0,29.06,22.46,1012.67,325.6,ALERT,5.0,8.1757,1,1
730.0,29.05,22.23,1012.58,324.5,ALERT,5.0,7.4802,0,0
735.0,29.08,21.99,1012.35,323.4,ALERT,5.0,7.1048,0,0
740.0,29.09,21.96,1012.35,326.7,ALERT,5.0,6.6249,0,0
745.0,29.12,21.9,1012.24,330.5,ALERT,5.0,6.3153,0,0
750.0,29.11,21.85,1012.56,322.8,ALERT,5.0,5.7628,0,0
755.0,29.1,21.91,1012.25,323.9,ALERT,5.0,5.2529,0,0
760.0,28.89,23.49,1012.45,324.8,ACTIVE,60.0,3.4488,1,0
820.0,29.03,21.75,1012.62,327.8,ACTIVE,30.0,4.2614,1,0
850.0,28.96,22.2,1012.37,325.2,ACTIVE,15.0,1.5918,1,0
865.0,29.18,21.55,1012.52,317.9,ACTIVE,5.0,2.5278,1,0
870.0,29.13,21.47,1012.46,325.1,ACTIVE,5.0,1.6889,0,0
875.0,28.87,22.92,1012.32,324.4,STABLE,20.0,0.836,1,0
895.0,28.98,23.07,1012.44,322.3,STABLE,40.0,0.9312,1,0
