timestamp,temperature,humidity,pressure,light,state,interval_s,score,upload,detected_event
0.0,24.07,44.84,1012.35,321.2,STABLE,20.0,0.0,0,0
20.0,23.87,46.02,1012.47,317.6,STABLE,40.0,1.475,1,0
60.0,24.11,44.61,1012.48,320.1,STABLE,60.0,0.6563,1,0
120.0,23.94,45.45,1012.43,326.5,STABLE,60.0,0.7733,1,0
180.0,24.03,44.74,1012.45,321.8,STABLE,60.0,0.5594,1,0
240.0,23.95,44.73,1012.05,320.5,STABLE,60.0,0.4267,1,0
300.0,23.99,44.58,1012.62,318.9,STABLE,60.0,0.3336,1,0
360.0,23.94,45.78,1012.5,320.9,STABLE,60.0,1.3332,1,0
420.0,23.95,44.69,1012.54,321.4,STABLE,60.0,0.6959,1,0
480.0,23.94,44.66,1012.41,321.3,STABLE,60.0,0.3854,1,0
540.0,23.91,45.75,1012.19,321.1,STABLE,60.0,1.1698,1,0
600.0,24.08,44.36,1012.39,323.6,STABLE,60.0,1.1526,1,0
660.0,24.01,44.64,1012.45,319.5,STABLE,60.0,0.2263,1,0
720.0,24.13,44.82,1012.38,323.5,STABLE,60.0,0.8181,1,0
780.0,23.93,45.25,1012.28,323.7,STABLE,60.0,0.9243,1,0
840.0,23.89,45.14,1012.39,323.2,STABLE,60.0,0.7288,1,0
900.0,23.99,44.84,1012.4,322.9,STABLE,60.0,0.3023,1,0
960.0,23.87,46.0,1012.57,319.6,STABLE,60.0,1.3023,1,0
1020.0,24.05,44.94,1012.3,327.7,STABLE,60.0,0.8756,1,0
1080.0,23.97,45.45,1012.4,324.2,STABLE,60.0,0.3006,1,0
1140.0,24.07,44.0,1012.35,321.8,STABLE,60.0,1.6622,1,0
1200.0,23.99,44.16,1012.27,327.3,STABLE,60.0,0.6311,1,0
1260.0,23.93,46.03,1012.31,324.9,STABLE,60.0,2.0219,1,0
1320.0,24.05,44.92,1012.19,321.6,STABLE,60.0,0.544,1,0
1380.0,23.91,45.45,1012.27,321.9,STABLE,60.0,0.6613,1,0
1440.0,23.91,45.47,1012.19,325.0,STABLE,60.0,0.3307,1,0
1500.0,23.97,45.09,1012.45,322.3,STABLE,60.0,0.3439,1,0
1560.0,24.73,42.29,1012.44,321.8,ACTIVE,60.0,5.184,1,0
1620.0,23.07,48.37,1012.51,320.2,ACTIVE,30.0,8.4747,1,0
1650.0,23.32,47.63,1012.24,324.0,ACTIVE,15.0,2.5707,1,0
1665.0,23.58,46.47,1012.35,321.4,STABLE,20.0,0.8667,1,0
1685.0,24.13,44.71,1012.44,321.2,STABLE,40.0,3.6823,1,0
