timestamp,temperature,humidity,pressure,light,state,interval_s,score,upload_requested,detected_event
0.0,23.95,44.68,1012.61,320.4,STABLE,20.0,0.0,1,0
20.0,24.08,44.38,1012.28,318.1,STABLE,20.0,0.8667,0,0
40.0,24.08,44.79,1012.45,322.7,STABLE,40.0,0.65,1,0
80.0,24.07,45.38,1012.29,317.8,STABLE,40.0,0.9109,0,0
120.0,23.95,44.77,1012.33,318.5,STABLE,60.0,0.5475,1,0
180.0,24.04,45.26,1012.68,318.9,STABLE,60.0,0.4829,1,0
240.0,23.99,44.55,1012.34,315.6,STABLE,60.0,0.646,1,0
300.0,29.66,23.39,1012.37,323.0,ALERT,5.0,37.7012,1,0
305.0,29.66,23.15,1012.64,322.5,ALERT,5.0,18.8506,0,0
310.0,29.31,22.74,1012.37,317.4,ALERT,5.0,15.0672,1,1
315.0,29.51,22.23,1012.62,318.9,ALERT,5.0,15.2415,0,1
320.0,29.52,22.59,1012.19,327.7,ALERT,5.0,14.1358,0,1
325.0,29.47,23.0,1012.56,321.7,ALERT,5.0,12.7151,0,1
330.0,29.39,22.32,1012.48,318.4,ALERT,5.0,11.2037,0,1
335.0,29.56,22.84,1012.37,317.7,ALERT,5.0,11.4752,0,1
340.0,29.48,23.0,1012.34,316.8,ALERT,5.0,10.0591,0,1
345.0,29.43,23.7,1012.61,315.3,ALERT,5.0,8.952,0,1
350.0,29.44,22.42,1012.61,323.5,ALERT,5.0,8.3301,0,1
355.0,29.44,22.7,1012.63,318.0,ALERT,5.0,7.6893,0,0
360.0,29.4,23.27,1012.29,320.9,ALERT,5.0,6.8311,0,0
365.0,29.5,22.51,1012.5,318.0,ALERT,5.0,6.9723,0,0
370.0,29.45,23.11,1012.48,320.7,ALERT,5.0,6.1027,1,0
375.0,29.51,22.58,1012.41,317.5,ALERT,5.0,6.0332,0,0
380.0,29.56,23.18,1012.19,326.5,ALERT,5.0,5.9025,0,0
385.0,29.7,22.84,1012.38,316.3,ALERT,5.0,6.3818,0,0
390.0,29.49,22.9,1012.5,320.6,ALERT,5.0,4.4909,0,0
395.0,29.49,22.92,1012.23,321.3,ALERT,5.0,4.1454,0,0
400.0,29.1,24.24,1012.49,319.3,ACTIVE,15.0,1.3528,1,0
415.0,27.88,30.12,1012.25,317.5,ACTIVE,10.0,7.0011,1,0
425.0,26.95,33.59,1012.53,322.1,ACTIVE,5.0,11.8009,1,0
430.0,26.53,35.78,1012.43,316.5,ALERT,5.0,12.9151,1,0
435.0,25.88,37.79,1012.15,317.5,ALERT,5.0,16.2549,1,1
440.0,25.46,39.86,1012.39,324.8,ALERT,5.0,17.8046,1,1
445.0,24.92,41.35,1012.31,324.0,ALERT,5.0,20.035,1,1
450.0,24.54,42.85,1012.48,323.2,ALERT,5.0,21.0272,1,1
455.0,24.1,44.48,1012.2,317.0,ALERT,5.0,22.343,1,1
460.0,24.02,44.74,1012.38,320.8,ALERT,5.0,21.1577,0,1
465.0,23.99,44.16,1012.26,315.6,ALERT,5.0,19.7301,0,1
470.0,24.01,45.26,1012.38,323.1,ALERT,5.0,18.0791,0,1
475.0,23.87,45.29,1012.16,319.3,ALERT,5.0,17.6217,0,1
480.0,24.09,44.92,1012.3,320.8,ALERT,5.0,14.7996,0,1
485.0,24.02,45.07,1012.31,313.1,ALERT,5.0,14.1278,0,1
490.0,23.9,43.97,1012.33,314.7,ALERT,5.0,13.841,0,1
495.0,24.02,44.62,1012.36,319.4,ALERT,5.0,11.9763,0,1
500.0,23.93,45.28,1012.44,317.3,ALERT,5.0,11.6551,0,1
505.0,23.9,44.8,1012.58,320.1,ALERT,5.0,10.9585,0,1
510.0,23.9,44.83,1012.45,321.5,ALERT,5.0,10.1156,0,1
515.0,24.01,45.25,1012.39,322.3,ALERT,5.0,8.6041,1,1
520.0,24.14,44.7,1012.21,324.3,ALERT,5.0,7.0756,0,0
525.0,23.95,44.6,1012.6,321.3,ALERT,5.0,7.798,0,0
530.0,24.04,45.07,1012.08,319.9,ALERT,5.0,6.5981,0,0
535.0,24.07,45.48,1012.39,322.4,ALERT,5.0,5.8906,0,0
540.0,23.89,45.05,1012.44,316.5,ALERT,5.0,6.6375,0,0
545.0,24.0,44.15,1012.4,672.5,ALERT,5.0,11.7531,1,0
550.0,24.11,46.0,1012.39,666.6,ALERT,5.0,10.6524,1,0
555.0,23.85,44.83,1012.36,669.5,ALERT,5.0,9.9296,1,1
560.0,23.89,44.97,1012.36,675.9,ALERT,5.0,9.3792,0,1
565.0,24.0,44.63,1012.27,669.3,ALERT,5.0,8.4377,0,1
570.0,23.95,44.96,1012.43,671.6,ALERT,5.0,7.8653,0,0
575.0,23.87,44.83,1012.56,669.1,ALERT,5.0,7.1769,0,0
