timestamp,temperature,humidity,pressure,light,state,interval_s,score,upload_requested,detected_event
0.0,23.95,44.68,1012.61,320.4,FIXED,5.0,,1,0
5.0,24.03,44.66,1012.36,321.7,FIXED,5.0,,1,0
10.0,23.92,45.82,1012.48,321.1,FIXED,5.0,,1,0
15.0,24.08,45.32,1012.32,321.3,FIXED,5.0,,1,0
20.0,24.08,44.38,1012.28,318.1,FIXED,5.0,,1,0
25.0,23.95,45.06,1012.68,313.7,FIXED,5.0,,1,0
30.0,23.96,45.27,1012.56,319.4,FIXED,5.0,,1,0
35.0,24.01,45.02,1012.49,319.3,FIXED,5.0,,1,0
40.0,24.08,44.79,1012.45,322.7,FIXED,5.0,,1,0
45.0,24.04,44.53,1012.33,320.8,FIXED,5.0,,1,0
50.0,24.0,45.42,1012.4,321.0,FIXED,5.0,,1,0
55.0,24.0,45.48,1012.4,319.0,FIXED,5.0,,1,0
60.0,24.04,45.16,1012.52,314.1,FIXED,5.0,,1,0
65.0,24.12,44.69,1012.64,317.0,FIXED,5.0,,1,0
70.0,23.98,44.89,1012.45,320.9,FIXED,5.0,,1,0
75.0,23.89,44.84,1012.38,326.2,FIXED,5.0,,1,0
80.0,24.07,45.38,1012.29,317.8,FIXED,5.0,,1,0
85.0,24.04,44.76,1012.59,313.9,FIXED,5.0,,1,0
90.0,24.04,45.0,1012.32,321.9,FIXED,5.0,,1,0
95.0,23.98,44.94,1012.36,320.0,FIXED,5.0,,1,0
100.0,24.08,44.74,1012.37,318.8,FIXED,5.0,,1,0
105.0,23.87,45.01,1012.39,318.2,FIXED,5.0,,1,0
110.0,24.03,45.42,1012.44,316.8,FIXED,5.0,,1,0
115.0,24.05,45.01,1012.33,319.9,FIXED,5.0,,1,0
120.0,23.95,44.77,1012.33,318.5,FIXED,5.0,,1,0
125.0,23.95,44.99,1012.25,317.7,FIXED,5.0,,1,0
130.0,24.02,45.0,1012.52,321.2,FIXED,5.0,,1,0
135.0,24.0,45.19,1012.54,316.8,FIXED,5.0,,1,0
140.0,24.13,45.34,1012.6,322.5,FIXED,5.0,,1,0
145.0,23.95,44.99,1012.35,318.4,FIXED,5.0,,1,0
150.0,24.04,45.07,1012.23,326.0,FIXED,5.0,,1,0
155.0,23.97,45.44,1012.17,322.8,FIXED,5.0,,1,0
160.0,23.94,45.61,1012.31,321.4,FIXED,5.0,,1,0
165.0,23.98,44.51,1012.36,315.8,FIXED,5.0,,1,0
170.0,23.97,45.35,1012.62,323.6,FIXED,5.0,,1,0
175.0,24.08,44.36,1012.38,315.1,FIXED,5.0,,1,0
180.0,24.04,45.26,1012.68,318.9,FIXED,5.0,,1,0
185.0,23.98,44.61,1012.38,323.4,FIXED,5.0,,1,0
