timestamp,temperature,humidity,pressure,light,state,interval_s,score,upload_requested,detected_event
0.0,23.99,45.02,1012.58,317.3,FIXED,60.0,,1,0
60.0,23.92,45.1,1012.47,313.7,FIXED,60.0,,1,0
120.0,23.95,44.95,1012.27,317.9,FIXED,60.0,,1,0
180.0,23.97,44.87,1012.36,318.2,FIXED,60.0,,1,0
240.0,23.93,45.29,1012.25,319.3,FIXED,60.0,,1,0
300.0,24.15,44.48,1012.35,322.0,FIXED,60.0,,1,0
360.0,24.05,45.37,1012.51,322.3,FIXED,60.0,,1,0
420.0,23.99,45.4,1012.32,318.2,FIXED,60.0,,1,0
480.0,23.87,45.16,1012.43,315.4,FIXED,60.0,,1,0
540.0,24.1,45.09,1012.43,321.7,FIXED,60.0,,1,0
600.0,23.92,45.02,1012.42,320.4,FIXED,60.0,,1,0
660.0,24.02,44.16,1012.39,317.1,FIXED,60.0,,1,0
720.0,23.99,44.48,1012.37,317.3,FIXED,60.0,,1,0
780.0,24.16,45.02,1012.24,318.1,FIXED,60.0,,1,0
840.0,23.98,44.74,1012.41,323.3,FIXED,60.0,,1,0
900.0,23.96,44.73,1012.29,322.0,FIXED,60.0,,1,0
960.0,23.92,44.87,1012.56,318.6,FIXED,60.0,,1,0
1020.0,24.02,44.5,1012.63,321.3,FIXED,60.0,,1,0
1080.0,24.07,44.43,1012.55,319.1,FIXED,60.0,,1,0
1140.0,23.94,44.96,1012.5,322.1,FIXED,60.0,,1,0
1200.0,24.04,44.21,1012.35,319.5,FIXED,60.0,,1,0
1260.0,24.01,44.65,1012.63,320.8,FIXED,60.0,,1,0
1320.0,23.95,44.61,1012.28,324.3,FIXED,60.0,,1,0
1380.0,24.04,45.13,1012.39,322.3,FIXED,60.0,,1,0
1440.0,23.82,45.05,1012.39,315.7,FIXED,60.0,,1,0
1500.0,23.83,45.58,1012.43,323.1,FIXED,60.0,,1,0
1560.0,23.91,45.3,1012.54,317.8,FIXED,60.0,,1,0
1620.0,23.99,45.38,1012.35,314.9,FIXED,60.0,,1,0
1680.0,23.95,44.97,1012.32,318.2,FIXED,60.0,,1,0
1740.0,24.04,44.67,1012.51,316.7,FIXED,60.0,,1,0
