timestamp,temperature,humidity,pressure,light,state,interval_s,score,upload_requested,detected_event
0.0,25.83,45.86,1012.18,331.0,STABLE,20.0,0.0,1,0
20.0,25.1,45.79,1011.59,267.3,ACTIVE,15.0,4.8667,1,0
35.0,23.91,43.18,1012.74,342.9,ACTIVE,10.0,11.5833,1,0
45.0,23.98,41.47,1013.05,306.8,ACTIVE,5.0,8.8,1,1
50.0,22.92,45.32,1011.49,287.8,ALERT,5.0,14.6095,1,1
55.0,25.21,43.73,1012.19,297.4,ALERT,5.0,5.4149,1,0
60.0,23.81,43.9,1012.65,325.3,ALERT,5.0,7.6894,1,0
65.0,24.15,41.88,1012.63,295.0,ALERT,5.0,4.8312,1,0
70.0,25.53,45.97,1011.09,290.4,ALERT,5.0,5.8397,1,0
75.0,24.25,43.76,1012.74,305.5,ALERT,5.0,5.4066,1,0
80.0,23.23,41.63,1012.9,318.8,ALERT,5.0,10.6378,1,0
85.0,24.01,41.82,1012.42,285.5,ALERT,5.0,4.9338,1,0
90.0,23.39,45.85,1013.07,302.5,ALERT,5.0,8.3975,1,0
95.0,22.91,45.08,1012.99,323.9,ALERT,5.0,10.9515,1,0
100.0,24.1,43.26,1013.09,300.5,ALERT,5.0,5.3562,1,0
105.0,24.64,48.96,1012.14,320.2,ALERT,5.0,5.9348,1,0
110.0,25.06,41.48,1013.64,287.9,ALERT,5.0,4.8036,1,0
115.0,22.61,40.58,1013.75,302.0,ALERT,5.0,12.3925,1,0
120.0,24.33,47.57,1012.88,330.5,ALERT,5.0,5.6415,1,0
125.0,24.34,41.75,1012.4,329.0,ALERT,5.0,5.5708,1,0
130.0,23.57,47.06,1012.43,326.1,ALERT,5.0,5.0485,1,0
135.0,24.37,43.95,1011.98,312.8,ALERT,5.0,4.9702,1,0
140.0,24.31,45.77,1011.27,277.7,ALERT,5.0,4.8129,1,0
145.0,24.71,44.91,1012.4,290.9,ALERT,5.0,4.4152,1,0
150.0,23.82,46.22,1012.58,336.4,ACTIVE,15.0,3.2831,1,0
165.0,25.14,49.17,1011.46,305.5,ACTIVE,10.0,5.7694,1,0
175.0,25.06,47.29,1012.77,332.1,ACTIVE,5.0,4.0822,1,0
180.0,25.02,48.42,1012.58,296.1,ACTIVE,5.0,3.6295,0,0
185.0,22.17,44.58,1012.08,345.5,ALERT,5.0,16.0163,1,0
190.0,25.12,48.03,1012.4,294.3,ALERT,5.0,7.7785,1,0
195.0,24.02,46.73,1011.28,297.7,ALERT,5.0,7.2011,1,0
200.0,25.78,46.3,1013.67,361.4,ALERT,5.0,9.1243,1,0
205.0,24.11,46.46,1012.5,375.9,ALERT,5.0,7.3079,1,0
210.0,25.03,44.04,1012.79,343.6,ALERT,5.0,7.2928,1,0
215.0,24.85,43.44,1012.46,304.7,ALERT,5.0,7.221,0,0
220.0,24.44,45.74,1012.39,317.9,ACTIVE,15.0,3.8408,1,0
235.0,23.22,43.36,1011.95,332.7,ACTIVE,10.0,8.8231,1,0
245.0,22.75,41.54,1012.66,300.0,ACTIVE,5.0,10.1918,1,1
250.0,23.02,43.78,1012.27,293.4,ACTIVE,5.0,6.9358,1,0
255.0,23.76,41.27,1011.25,329.7,ACTIVE,5.0,4.2612,1,0
260.0,24.37,43.92,1012.98,300.8,ACTIVE,5.0,3.8493,1,0
265.0,23.47,45.58,1013.67,317.2,ACTIVE,5.0,3.5158,1,0
270.0,23.6,46.3,1012.74,345.0,ACTIVE,5.0,3.4728,0,0
275.0,24.91,44.72,1011.92,333.3,ACTIVE,5.0,6.5529,1,0
280.0,24.75,41.52,1013.14,311.3,ACTIVE,5.0,4.9822,1,0
285.0,22.75,45.07,1012.54,288.1,ACTIVE,5.0,8.7344,1,0
290.0,26.22,45.79,1011.97,309.3,ALERT,5.0,15.0708,1,0
295.0,25.07,41.89,1012.36,313.5,ALERT,5.0,7.2904,1,0
300.0,25.35,46.37,1012.58,326.2,ALERT,5.0,7.6312,1,0
305.0,24.55,43.64,1012.49,270.5,ALERT,5.0,6.5083,1,0
310.0,23.76,44.73,1013.28,289.8,ALERT,5.0,6.9245,1,0
315.0,23.42,44.68,1012.84,345.1,ALERT,5.0,7.4596,1,0
320.0,22.96,48.84,1012.98,332.1,ALERT,5.0,8.3009,1,0
325.0,22.2,40.33,1012.08,285.6,ALERT,5.0,12.7291,1,0
330.0,23.96,43.9,1011.41,325.9,ALERT,5.0,6.3643,1,0
335.0,22.85,49.2,1011.51,326.4,ALERT,5.0,7.4153,1,0
340.0,24.3,44.44,1012.82,329.3,ALERT,5.0,4.4879,1,0
345.0,25.45,42.88,1012.51,343.2,ALERT,5.0,10.2714,1,0
350.0,25.12,44.68,1011.97,340.0,ALERT,5.0,7.5173,1,0
355.0,25.19,49.34,1012.81,320.2,ALERT,5.0,7.6692,1,0
360.0,23.79,44.88,1012.54,313.3,ALERT,5.0,5.7572,1,0
365.0,22.51,44.47,1012.49,329.2,ALERT,5.0,11.0242,1,0
370.0,25.28,44.26,1012.53,347.9,ALERT,5.0,8.2905,1,0
375.0,22.96,43.04,1012.12,324.4,ALERT,5.0,7.8139,1,0
380.0,23.87,41.37,1012.6,308.1,ALERT,5.0,6.9454,1,0
385.0,23.49,49.44,1012.75,329.4,ALERT,5.0,6.4533,1,0
390.0,24.3,45.35,1012.03,342.1,ALERT,5.0,5.5711,1,0
395.0,25.31,49.38,1012.87,341.2,ALERT,5.0,8.6579,1,0
400.0,26.09,40.58,1012.02,321.4,ALERT,5.0,13.1919,1,0
405.0,23.73,45.27,1011.67,327.5,ALERT,5.0,6.7463,1,0
410.0,21.33,45.85,1011.92,336.4,ALERT,5.0,19.2826,1,0
415.0,22.7,46.19,1011.61,322.1,ALERT,5.0,9.8137,1,0
420.0,23.23,41.69,1012.03,331.0,ALERT,5.0,9.8927,1,1
425.0,25.9,48.87,1013.27,314.3,ALERT,5.0,13.6775,1,1
430.0,23.2,48.17,1012.02,314.4,ALERT,5.0,10.5799,1,1
