timestamp,temperature,humidity,pressure,light,state,interval_s,score,upload_requested,detected_event
0.0,25.83,45.86,1012.18,331.0,FIXED,40.0,,1,0
40.0,22.42,45.58,1011.63,315.4,FIXED,40.0,,1,0
80.0,23.23,41.63,1012.9,318.8,FIXED,40.0,,1,0
120.0,24.33,47.57,1012.88,330.5,FIXED,40.0,,1,0
160.0,24.48,47.17,1011.89,303.5,FIXED,40.0,,1,0
200.0,25.78,46.3,1013.67,361.4,FIXED,40.0,,1,0
240.0,22.42,48.7,1012.38,291.6,FIXED,40.0,,1,0
280.0,24.75,41.52,1013.14,311.3,FIXED,40.0,,1,0
320.0,22.96,48.84,1012.98,332.1,FIXED,40.0,,1,0
360.0,23.79,44.88,1012.54,313.3,FIXED,40.0,,1,0
400.0,26.09,40.58,1012.02,321.4,FIXED,40.0,,1,0
440.0,23.22,41.88,1012.91,288.0,FIXED,40.0,,1,0
480.0,24.53,49.67,1012.41,334.6,FIXED,40.0,,1,0
520.0,24.22,43.43,1012.12,304.2,FIXED,40.0,,1,0
560.0,24.59,43.85,1011.47,340.5,FIXED,40.0,,1,0
600.0,24.05,46.22,1012.76,344.7,FIXED,40.0,,1,0
640.0,22.83,44.13,1013.15,378.5,FIXED,40.0,,1,0
680.0,24.32,46.58,1011.87,314.3,FIXED,40.0,,1,0
720.0,23.45,43.23,1011.5,276.9,FIXED,40.0,,1,0
760.0,23.82,45.48,1011.59,300.7,FIXED,40.0,,1,0
800.0,23.91,48.37,1011.78,356.9,FIXED,40.0,,1,0
840.0,24.17,46.72,1012.56,293.1,FIXED,40.0,,1,0
880.0,23.37,45.7,1012.51,315.7,FIXED,40.0,,1,0
920.0,23.43,41.26,1011.64,347.3,FIXED,40.0,,1,0
960.0,23.07,44.26,1012.15,363.7,FIXED,40.0,,1,0
1000.0,23.72,42.39,1013.3,359.3,FIXED,40.0,,1,0
1040.0,25.24,49.22,1012.58,331.0,FIXED,40.0,,1,0
1080.0,25.3,49.86,1012.45,338.9,FIXED,40.0,,1,0
1120.0,22.05,42.23,1013.8,266.7,FIXED,40.0,,1,0
1160.0,23.21,45.96,1012.28,315.5,FIXED,40.0,,1,0
