timestamp,temperature,humidity,pressure,light,state,interval_s,score,upload_requested,detected_event
0.0,23.85,45.54,1012.55,317.4,FIXED,40.0,,1,0
40.0,23.8,44.86,1012.22,320.7,FIXED,40.0,,1,0
80.0,23.97,45.01,1012.54,320.7,FIXED,40.0,,1,0
120.0,23.99,44.61,1012.33,319.8,FIXED,40.0,,1,0
160.0,24.1,46.05,1012.3,320.7,FIXED,40.0,,1,0
200.0,24.0,45.02,1012.43,321.6,FIXED,40.0,,1,0
240.0,23.91,45.14,1012.32,321.1,FIXED,40.0,,1,0
280.0,23.95,45.11,1012.62,317.6,FIXED,40.0,,1,0
320.0,23.91,45.42,1012.19,319.1,FIXED,40.0,,1,0
360.0,24.0,44.87,1012.55,317.8,FIXED,40.0,,1,0
400.0,24.04,44.89,1012.33,319.0,FIXED,40.0,,1,0
440.0,23.92,44.79,1012.35,316.3,FIXED,40.0,,1,0
480.0,23.89,44.34,1012.53,323.0,FIXED,40.0,,1,0
520.0,23.98,44.47,1012.5,319.1,FIXED,40.0,,1,0
560.0,24.02,45.31,1012.44,320.0,FIXED,40.0,,1,0
600.0,24.03,45.09,1012.32,316.0,FIXED,40.0,,1,0
640.0,24.03,44.38,1012.07,322.9,FIXED,40.0,,1,0
680.0,24.15,44.24,1012.26,315.8,FIXED,40.0,,1,0
720.0,24.1,44.15,1012.52,321.3,FIXED,40.0,,1,0
760.0,24.06,43.64,1012.52,321.0,FIXED,40.0,,1,0
800.0,24.47,44.2,1012.48,322.2,FIXED,40.0,,1,0
840.0,24.37,42.82,1012.44,325.9,FIXED,40.0,,1,0
880.0,24.46,42.47,1012.43,321.4,FIXED,40.0,,1,0
920.0,24.48,43.61,1012.3,321.6,FIXED,40.0,,1,0
960.0,24.67,42.07,1012.25,316.2,FIXED,40.0,,1,0
1000.0,24.52,41.35,1012.44,322.1,FIXED,40.0,,1,0
1040.0,24.67,42.35,1012.66,317.9,FIXED,40.0,,1,0
1080.0,24.82,41.45,1012.3,320.4,FIXED,40.0,,1,0
1120.0,24.93,41.85,1012.57,318.0,FIXED,40.0,,1,0
1160.0,24.82,40.88,1012.6,318.5,FIXED,40.0,,1,0
1200.0,25.08,40.68,1012.33,322.8,FIXED,40.0,,1,0
1240.0,25.13,41.35,1012.41,315.6,FIXED,40.0,,1,0
1280.0,25.22,39.85,1012.42,320.5,FIXED,40.0,,1,0
1320.0,25.24,40.72,1012.13,318.1,FIXED,40.0,,1,0
1360.0,25.13,39.54,1012.45,322.1,FIXED,40.0,,1,0
1400.0,25.37,39.88,1012.52,322.0,FIXED,40.0,,1,0
1440.0,25.39,39.72,1012.28,321.1,FIXED,40.0,,1,0
1480.0,25.38,39.07,1012.42,315.8,FIXED,40.0,,1,0
1520.0,25.52,38.85,1012.41,314.6,FIXED,40.0,,1,0
1560.0,25.57,39.09,1012.6,321.1,FIXED,40.0,,1,0
1600.0,25.72,38.22,1012.15,320.1,FIXED,40.0,,1,0
1640.0,25.77,38.68,1012.13,319.7,FIXED,40.0,,1,0
1680.0,25.81,38.02,1012.56,315.1,FIXED,40.0,,1,0
1720.0,25.82,37.01,1012.77,320.6,FIXED,40.0,,1,0
1760.0,25.87,37.36,1012.52,316.3,FIXED,40.0,,1,0
1800.0,25.82,36.72,1012.05,321.2,FIXED,40.0,,1,0
1840.0,25.97,36.65,1012.52,318.4,FIXED,40.0,,1,0
1880.0,25.99,36.76,1012.71,318.7,FIXED,40.0,,1,0
1920.0,26.19,35.89,1012.2,318.9,FIXED,40.0,,1,0
1960.0,26.3,36.58,1012.27,322.6,FIXED,40.0,,1,0
2000.0,26.44,36.29,1012.25,313.2,FIXED,40.0,,1,0
2040.0,26.5,35.35,1012.55,324.8,FIXED,40.0,,1,0
2080.0,26.49,34.63,1012.41,319.5,FIXED,40.0,,1,0
2120.0,26.56,34.91,1012.34,326.2,FIXED,40.0,,1,0
2160.0,26.63,34.52,1012.38,320.9,FIXED,40.0,,1,0
2200.0,26.58,34.47,1012.6,321.3,FIXED,40.0,,1,0
2240.0,26.74,34.01,1012.49,320.9,FIXED,40.0,,1,0
2280.0,26.69,34.27,1012.33,324.3,FIXED,40.0,,1,0
2320.0,26.9,33.15,1012.13,321.4,FIXED,40.0,,1,0
2360.0,26.9,33.83,1012.51,316.4,FIXED,40.0,,1,0
2400.0,27.03,32.91,1012.26,317.8,FIXED,40.0,,1,0
2440.0,27.05,33.23,1012.35,317.7,FIXED,40.0,,1,0
2480.0,27.0,32.75,1012.61,324.7,FIXED,40.0,,1,0
2520.0,27.06,33.04,1012.39,319.4,FIXED,40.0,,1,0
2560.0,27.09,32.84,1012.42,320.8,FIXED,40.0,,1,0
2600.0,26.92,32.42,1012.03,322.7,FIXED,40.0,,1,0
2640.0,26.98,32.79,1012.29,315.1,FIXED,40.0,,1,0
2680.0,26.93,33.44,1012.47,323.4,FIXED,40.0,,1,0
2720.0,26.95,33.86,1012.79,317.4,FIXED,40.0,,1,0
2760.0,26.9,32.27,1012.42,313.5,FIXED,40.0,,1,0
2800.0,26.96,33.33,1012.33,316.0,FIXED,40.0,,1,0
2840.0,26.98,32.97,1012.58,321.4,FIXED,40.0,,1,0
2880.0,26.82,32.68,1012.33,327.7,FIXED,40.0,,1,0
2920.0,26.98,33.29,1012.55,314.8,FIXED,40.0,,1,0
2960.0,27.01,32.92,1012.31,322.8,FIXED,40.0,,1,0
3000.0,26.96,32.87,1012.24,322.5,FIXED,40.0,,1,0
3040.0,26.67,34.09,1012.45,319.9,FIXED,40.0,,1,0
3080.0,26.66,34.97,1012.56,317.9,FIXED,40.0,,1,0
3120.0,26.37,35.4,1012.58,320.6,FIXED,40.0,,1,0
3160.0,26.1,36.26,1012.16,320.8,FIXED,40.0,,1,0
3200.0,26.05,36.56,1012.32,325.7,FIXED,40.0,,1,0
3240.0,25.85,38.06,1012.09,323.1,FIXED,40.0,,1,0
3280.0,25.63,38.91,1012.39,318.3,FIXED,40.0,,1,0
3320.0,25.43,38.94,1012.34,322.2,FIXED,40.0,,1,0
3360.0,25.22,40.37,1012.36,327.2,FIXED,40.0,,1,0
3400.0,24.91,40.88,1012.4,318.5,FIXED,40.0,,1,0
3440.0,24.7,42.23,1012.47,322.1,FIXED,40.0,,1,0
